Gender,Age_2,Marital,Parental,Education,Religion,Occupation,CoupleStatus,Income,CouplePeriod,NumCouple,NumCouple_2,Empathy_01,Respect_02,Distancing_03,Growth_04,Patience_05,Growth_06,Respect_07,Distancing_08,Growth_09,Empathy_10,Empathy_11,Patience_12,Growth_13,Patience_14,Respect_15,Distancing_16,Empathy_17,Respect_18,Patience_19,Growth_20,Respect_21,Patience_22,Extraversion_01,Extraversion_02,Extraversion_03,Extraversion_04,Neuroticism_05,Neuroticism_06,Neuroticism_07,Neuroticism_08,Openness_09,Openness_10,Openness_11,Openness_12,Agreeableness_13,Agreeableness_14,Agreeableness_15,Agreeableness_16,Conscientiousness_17,Conscientiousness_18,Conscientiousness_19,Conscientiousness_20,Avoidance_01,Dominance_02,Compromise_03,Accomodation_04,Collaboration_05,Avoidance_06,Dominance_07,Compromise_08,Accomodation_09,Collaboration_10,Avoidance_11,Dominance_12,Compromise_13,Accomodation_14,Collaboration_15,Avoidance_16,Dominance_17,Compromise_18,Accomodation_19,Collaboration_20,Avoidance_21,Dominance_22,Compromise_23,Accomodation_24,Collaboration_25,satisfaction_01,satisfaction_02,satisfaction_03,satisfaction_04,satisfaction_05,satisfaction_06,satisfaction_07,satisfaction_08,satisfaction_09,ADCRS,TD,PD,RD,GD,DD,Extraversion,Neuroticism,Openness,Agreeableness,Conscientiousness,Compromising,Integrating,Obliging,Avoiding,Dominating,PositiveStrategy,NegativeStrategy,CoupleSatisfaction
2,3,2,4,4,3,7,1,4,9,5,11,5,4,5,5,3,6,3,5,5,5,5,4,5,3,2,5,6,3,2,5,3,2,4,3,3,5,5,3,4,3,4,4,4,4,4,3,4,4,4,2,4,4,4,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,3,2,2,2,2,3,3,3,91,14,21,15,26,15,15,15,16,15,14,18,20,18,19,18,38,37,22
2,3,2,1,4,2,2,1,4,9,2,,6,4,5,6,2,6,5,6,6,6,6,4,6,6,5,5,5,5,6,5,5,4,3,3,3,3,3,4,3,4,3,3,3,3,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,3,3,114,22,23,24,29,16,12,14,12,16,14,15,15,15,15,15,30,30,30
2,3,2,3,4,4,7,1,2,9,5,20,6,5,4,6,6,6,3,6,6,6,6,6,6,6,4,5,6,3,6,6,3,6,2,4,2,2,1,1,2,2,4,4,2,3,3,2,4,4,4,3,4,4,2,4,4,4,4,2,2,4,4,4,4,3,4,4,4,3,4,4,4,4,2,3,3,4,4,4,4,4,5,4,5,4,5,4,117,30,24,18,30,15,10,6,13,13,15,19,20,20,13,16,39,29,39
2,3,2,3,4,1,7,1,5,9,4,,7,3,6,6,3,6,5,6,6,3,6,4,6,5,6,6,7,3,6,6,6,5,4,4,4,4,1,1,2,1,3,4,2,1,4,4,4,5,5,4,5,3,3,4,4,4,5,4,3,5,3,4,3,4,4,3,4,3,4,4,3,4,5,4,3,4,4,4,3,2,3,4,5,3,5,4,117,23,23,23,30,18,16,5,10,17,17,20,21,17,18,19,41,37,33
2,3,2,3,4,1,7,1,2,1,1,,3,4,3,4,4,4,5,3,5,6,5,2,3,5,4,4,4,4,3,5,4,4,5,4,4,4,3,3,4,4,4,3,3,4,5,5,5,4,4,4,4,4,3,4,3,2,2,3,3,3,4,4,3,3,3,4,4,3,3,3,4,4,3,3,3,4,4,3,4,3,3,4,2,4,3,3,88,18,18,21,21,10,17,14,14,19,16,15,18,18,15,16,33,31,29
2,3,2,1,4,1,2,1,4,6,1,,4,3,4,4,4,5,3,5,4,5,4,4,4,3,4,4,4,4,3,5,4,3,3,3,4,4,3,3,3,3,4,3,3,4,3,4,4,3,3,3,4,4,3,4,3,4,3,4,3,4,3,4,4,3,4,4,3,3,4,3,3,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,87,17,17,18,22,13,14,12,14,14,14,18,18,18,18,17,36,35,34
2,3,2,3,4,1,7,1,3,10,3,,6,2,6,6,6,6,3,6,6,6,6,6,6,6,3,6,6,3,6,6,5,6,5,5,5,5,2,3,4,4,5,5,5,5,4,5,5,5,5,5,5,5,4,3,4,4,4,3,1,5,4,4,4,3,4,3,4,2,3,3,2,3,2,2,3,3,3,5,5,4,5,5,5,5,5,5,118,30,24,16,30,18,20,13,20,19,20,19,18,16,15,12,37,27,44
2,3,2,4,2,1,4,1,4,8,2,,6,1,6,7,3,4,1,4,4,6,7,2,6,4,2,6,7,2,4,4,2,3,5,5,3,3,2,2,2,4,3,3,3,2,4,4,4,4,5,3,5,5,3,1,3,4,3,2,1,3,4,4,5,1,2,4,4,3,1,2,4,3,3,1,4,4,3,4,4,3,3,3,3,3,4,3,91,16,26,8,25,16,16,10,11,16,18,14,17,20,16,5,31,21,30
2,3,2,3,4,1,2,1,3,9,4,,6,3,5,6,2,6,3,4,4,5,5,2,5,3,2,6,6,3,3,6,2,3,4,3,4,4,3,3,4,4,3,3,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,4,4,4,3,3,4,3,3,4,4,3,3,4,3,3,4,3,4,3,3,4,3,3,4,3,90,13,22,13,27,15,15,14,13,14,15,16,19,17,18,17,35,35,30
2,3,2,2,4,2,2,1,3,10,1,,5,3,4,5,4,4,3,4,5,5,5,4,4,3,3,4,5,3,3,4,3,4,4,4,3,4,3,2,4,4,4,4,4,5,5,2,4,3,5,3,5,5,3,2,3,3,3,3,3,3,2,3,3,3,4,3,3,2,2,2,2,3,3,2,2,3,2,3,3,3,2,3,3,2,5,3,87,18,20,15,22,12,15,13,17,14,18,14,14,13,14,12,28,26,27
